start_time,end_time,meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,q10,q20,q30,q40,q50,q60,q70,q80,q90,spanOfGroup,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_to,network_from,network_both,network_to_external,network_local,anonymous_source_destination,device,state
1556234602.777099,1556234665.0034451,265.3414634146341,54,1514,29.65204437011204,2.2302257312083342,3.625178217042519,54.0,54.0,54.0,57.60000000000005,74.0,96.19999999999997,146.0,301.6000000000008,1039.0,62.226346254348755,0.20394573170731709,1.6649536865765304,0.004365,88.69720866953824,9.345068446300212,0,0,0,205,0,0,cloudcam,power
1556234608.197314,1556234664.5377789,273.55121951219513,54,1514,45.96066877367366,2.135700240926045,3.741326418486871,54.0,54.0,54.0,64.80000000000003,85.0,98.0,210.99999999999991,433.2,779.0,56.34046483039856,0.1298547024390244,0.1596354588973571,0.004135,12.553848354068796,3.6370754206445732,0,0,0,205,0,0,cloudcam,power
1556234602.683969,1556234665.0034451,286.00975609756097,54,1514,50.40847542919047,2.15150334900346,3.293175533224902,54.0,54.0,54.0,66.0,88.0,98.39999999999999,186.0,399.80000000000064,891.1999999999989,62.31947612762451,0.16286028780487805,0.9027481734527844,0.003296,155.1591777872846,11.92168653940121,0,0,0,205,0,0,cloudcam,power
1556234602.777099,1556234665.0034451,232.4048780487805,54,1514,29.65204437011204,2.523535700703542,5.978125515022105,54.0,54.0,54.0,54.0,74.0,98.0,186.0,302.4000000000009,583.0,62.226346254348755,0.27518358536585363,2.584670756370969,0.007731,59.48753617884665,7.727961603356723,0,0,0,205,0,0,cloudcam,power
1556234602.777099,1556234664.5377789,266.08780487804876,54,1514,29.65204437011204,2.278897387842511,3.829404310712251,54.0,54.0,54.0,64.80000000000003,74.0,94.39999999999999,146.0,346.0,888.5999999999988,61.760679960250854,0.22914405365853657,2.4120973212340697,0.00287,61.98220044904066,7.962118909538918,0,0,0,205,0,0,cloudcam,power
1556234602.683969,1556234664.5377789,271.29756097560977,54,1514,37.065055462640046,2.132658557203853,3.513080172819378,54.0,54.0,54.0,66.0,79.0,98.0,174.59999999999954,399.80000000000064,792.0,61.85380983352661,0.290444556097561,2.711176314056699,0.007724,59.588297390317734,7.736103117693883,0,0,0,205,0,0,cloudcam,power
1556234606.840183,1556234664.5377789,268.08780487804876,54,1514,29.65204437011204,2.1413480629271633,3.4708016399660284,54.0,54.0,54.0,66.0,74.0,91.59999999999997,173.19999999999942,398.0000000000005,972.5999999999999,57.697595834732056,0.12852085365853658,0.9949875541715765,0.002219,175.2218219271921,12.957686635528841,0,0,0,205,0,0,cloudcam,power
1556234602.777099,1556234664.521785,309.1268292682927,54,1514,35.58245324413445,1.8625749316368232,2.151684113775314,54.0,54.0,54.0,66.0,78.0,91.59999999999997,212.0,486.0,1031.3999999999999,61.744686126708984,0.3076379853658537,2.6366152615822784,0.004365,56.482510640610755,7.466401743937535,0,0,0,205,0,0,cloudcam,power
1556234602.683969,1556234665.0034451,293.1170731707317,54,1514,37.065055462640046,2.050735189301963,2.6944232922701596,54.0,54.0,54.0,66.0,79.0,98.0,151.59999999999988,392.0,1514.0,62.31947612762451,0.157551356097561,0.8814669458903185,0.003256,163.0563152582386,12.320404792308455,0,0,0,205,0,0,cloudcam,power
1556302498.6633172,1556302526.2268429,160.69568892645816,54,1514,4.447806655516806,6.391042191239384,51.97051495332784,104.0,105.0,106.0,106.0,107.0,112.0,128.0,164.0,313.0,27.563525676727295,0.016848990701606083,0.001137459263087054,0.010224,51.88224417170076,6.48147905226739,0,0,0,1183,0,0,cloudcam,alexa_watch
